percentage_rank,stock,turnover,percentage_change
1,RBLBANK,200.49,6.59790525812111
2,HAL,4415.9,5.187780001906414
3,RELIANCE,1356.8,4.32174715472161
4,LUPIN,2105.5,4.179045355515949
5,ABFRL,274.2,3.7289418890781842
6,GMRAIRPORT,88.51,3.5672514619883007
7,KALYANKJIL,516.9,3.122194513715706
8,IGL,183.67,3.0695847362514024
9,ATGL,618.3,3.0499999999999923
10,PRESTIGE,1300.0,3.027421144396897
11,BPCL,304.65,2.992898207642889
12,BEL,306.5,2.9737903225806335
13,HINDZINC,457.8,2.8876404494382073
14,TORNTPHARM,3330.0,2.8126833184105684
15,MGL,1315.2,2.78211941231636
16,CESC,158.19,2.7539620680696157
17,SUNPHARMA,1834.9,2.6630860467718422
18,SUPREMEIND,3569.5,2.6367243659784867
19,ADANIGREEN,936.95,2.635472028929929
20,NCC,217.32,2.620767814137972
21,HINDCOPPER,218.83,2.506089563425156
22,BIOCON,319.45,2.4691358024691317
23,HINDPETRO,389.75,2.3771998949303943
24,VBL,534.3,2.3661270236612526
25,BSE,6448.0,2.3003093519473308
26,BHEL,227.38,2.2530017538336966
27,INDUSTOWER,406.0,2.2524222977224078
28,TATATECH,708.5,2.2071552221581006
29,GRANULES,462.85,2.1986520826427993
30,TATAPOWER,396.1,2.1929824561403506
31,JSWSTEEL,1050.5,2.1489692726565446
32,DRREDDY,1199.6,2.1450459652706884
33,SOLARINDS,13018.0,2.108646233440464
34,MAXHEALTH,1089.8,2.0985572418961835
35,ASTRAL,1371.1,2.0765108663292717
36,ZYDUSLIFE,877.3,2.0473448496481153
37,UPL,675.0,2.0095187731359
38,HUDCO,224.52,1.943334544133673
39,IEX,194.3,1.942257217847763
40,INDUSINDBK,838.0,1.9030826290508878
41,UNIONBANK,127.3,1.8889066752040975
42,PNB,101.18,1.8733004330748304
43,SAIL,117.09,1.872659176029955
44,NATIONALUM,159.43,1.8722044728434548
45,TATASTEEL,141.38,1.8365142239827235
46,ADANIENSOL,930.45,1.8209657133482777
47,BANKINDIA,117.37,1.8041460664411468
48,JINDALSTEL,907.3,1.771697690065045
49,ADANIPORTS,1214.0,1.7518860016764535
50,TORNTPOWER,1564.4,1.735343819056288
51,LAURUSLABS,636.45,1.7262047470630655
52,M&M,2912.4,1.7247398924656134
53,OBEROIRLTY,1633.5,1.6996638027642854
54,CIPLA,1551.1,1.6711448980929287
55,NYKAA,194.75,1.6599676358511284
56,MUTHOOTFIN,2127.5,1.638639403783689
57,INDHOTEL,799.15,1.6341323837985657
58,ADANIENT,2392.5,1.6225629698848836
59,INDIANB,578.05,1.6075193253689348
60,ICICIBANK,1427.8,1.6016514806378133
61,INOXWIND,174.88,1.5917276635296906
62,AUROPHARMA,1239.3,1.5736415047946928
63,JIOFIN,257.0,1.5609563327405607
64,CHAMBLFERT,687.15,1.551303833936618
65,NTPC,362.0,1.5429934072099873
66,ONGC,250.2,1.5304672593675077
67,DIVISLAB,6105.0,1.521829521829522
68,RECLTD,428.55,1.5040265277119902
69,PNBHOUSING,986.15,1.4870844910980685
70,DIXON,16464.0,1.4735803687033726
71,PIIND,3634.8,1.4202405201038
72,TATAMOTORS,664.3,1.4040442579168326
73,AXISBANK,1182.6,1.3975820972305544
74,POWERGRID,310.75,1.3866231647634584
75,IIFL,371.75,1.3790278536318983
76,IRCTC,762.25,1.37660437587285
77,BANKBARODA,250.03,1.3412212812512672
78,FEDERALBNK,199.13,1.3283118733777723
