rank,stock,turnover
1,MRF,128500.0
2,PAGEIND,44500.0
3,SHREECEM,30460.0
4,BOSCHLTD,28050.0
5,DIXON,16190.0
6,SOLARINDS,12714.0
7,ULTRACEMCO,12190.0
8,BAJFINANCE,9080.5
9,OFSS,8582.0
10,BAJAJ-AUTO,8010.5
11,COFORGE,7375.0
12,NAUKRI,7034.0
13,APOLLOHOSP,6932.0
14,BSE,6296.0
15,MCX,6049.0
16,DIVISLAB,6027.0
17,TATAELXSI,5600.0
18,EICHERMOT,5560.0
19,POLYCAB,5483.5
20,ABB,5480.0
21,BRITANNIA,5414.7
22,INDIGO,5313.0
23,PERSISTENT,5259.0
24,TRENT,5124.0
25,ALKEM,5040.0
26,LTIM,4480.0
27,HDFCAMC,4385.0
28,HAL,4190.0
29,CAMS,3938.2
30,HEROMOTOCO,3876.0
31,PIIND,3585.0
32,SUPREMEIND,3471.7
33,TCS,3434.0
34,TITAN,3357.0
35,ESCORTS,3350.0
36,LT,3268.0
37,TORNTPHARM,3240.0
38,PIDILITIND,3006.0
39,SRF,2979.0
40,KEI,2956.0
41,M&M,2865.0
42,CUMMINSIND,2851.2
43,SIEMENS,2832.0
44,TVSMOTOR,2735.7
45,GRASIM,2732.1
46,COLPAL,2665.0
47,TIINDIA,2570.0
48,BALKRISIND,2529.5
49,MPHASIS,2524.0
50,ASIANPAINT,2425.7
51,NESTLEIND,2410.0
52,ADANIENT,2346.0
53,HINDUNILVR,2328.1
54,ANGELONE,2322.9
55,KOTAKBANK,2196.6
56,MUTHOOTFIN,2093.7
57,GODREJPROP,2085.0
58,BAJAJFINSV,2045.0
59,LUPIN,2022.0
60,DALBHARAT,1968.3
61,PATANJALI,1965.0
62,DEEPAKNTR,1954.0
63,ACC,1935.0
64,HDFCBANK,1908.0
65,ICICIGI,1855.0
66,BHARTIARTL,1815.0
67,SUNPHARMA,1781.8
68,SBILIFE,1691.0
69,PHOENIXLTD,1623.8
70,OBEROIRLTY,1601.0
71,APLAPOLLO,1600.0
72,HAVELLS,1596.0
73,POLICYBZR,1593.5
74,HCLTECH,1576.4
75,TATACOMM,1564.2
76,UNITDSPR,1543.3
77,TORNTPOWER,1538.3
78,CHOLAFIN,1528.6
79,CIPLA,1525.1
80,INFY,1480.0
81,TECHM,1460.0
82,ICICIBANK,1403.0
83,ASTRAL,1344.8
84,CDSL,1328.1
85,RELIANCE,1301.0
86,LODHA,1298.0
87,MGL,1280.0
88,MFSL,1263.8
89,PRESTIGE,1261.8
90,GODREJCP,1259.0
91,VOLTAS,1227.0
92,KPITTECH,1218.1
93,AUROPHARMA,1217.1
94,ADANIPORTS,1189.5
95,CYIENT,1176.0
96,DRREDDY,1172.0
97,AXISBANK,1165.3
98,TATACONSUM,1149.0
99,BHARATFORG,1082.9
100,MAXHEALTH,1065.7
101,JSWSTEEL,1021.4
102,PEL,977.1
103,PNBHOUSING,966.8
104,RAMCOCEM,965.6
105,ADANIGREEN,914.95
106,ADANIENSOL,909.2
107,JINDALSTEL,888.35
108,PAYTM,874.5
109,SBICARD,864.85
110,ZYDUSLIFE,858.7
111,TATACHEM,824.0
112,INDUSINDBK,820.0
113,SBIN,797.4
114,LICI,789.4
115,INDHOTEL,784.85
116,TITAGARH,774.65
117,IRCTC,751.1
118,HDFCLIFE,702.7
119,JUBLFOOD,695.0
120,TATATECH,692.0
121,CHAMBLFERT,675.0
122,CONCOR,675.0
123,AUBANK,671.0
124,UPL,659.95
125,TATAMOTORS,654.15
126,DLF,652.05
127,SHRIRAMFIN,640.0
128,CGPOWER,630.9
129,SYNGENE,629.5
130,LAURUSLABS,623.1
131,HINDALCO,620.15
132,ATGL,604.65
133,LICHSGFIN,597.05
134,ICICIPRULI,591.8
135,INDIANB,566.95
136,JSL,556.0
137,AMBUJACEM,548.0
138,VBL,519.8
139,KALYANKJIL,500.1
140,DABUR,484.4
141,JSWENERGY,481.45
142,APOLLOTYRE,461.0
143,SONACOMS,453.3
144,GRANULES,452.1
145,HINDZINC,444.0
146,AARTIIND,428.7
147,ITC,427.6
148,RECLTD,421.0
149,VEDL,412.3
150,PFC,412.0
151,OIL,397.6
152,INDUSTOWER,397.0
153,COALINDIA,392.65
154,TATAPOWER,386.8
155,BSOFT,385.7
156,HINDPETRO,380.0
157,POONAWALLA,379.75
158,EXIDEIND,370.15
159,IIFL,365.2
160,NTPC,355.5
161,CROMPTON,334.5
162,BIOCON,312.0
163,PETRONET,309.0
164,POWERGRID,305.3
165,DELHIVERY,301.2
166,BEL,297.0
167,BPCL,295.25
168,ABFRL,264.45
169,M&MFIN,263.4
170,JIOFIN,252.39
171,BANKBARODA,246.1
172,ONGC,246.0
173,WIPRO,240.5
174,ETERNAL,227.71
175,MANAPPURAM,226.34
176,ASHOKLEY,225.12
177,BHEL,220.8
178,HUDCO,219.59
179,HINDCOPPER,213.2
180,NCC,211.2
181,FEDERALBNK,196.06
182,ABCAPITAL,195.51
183,NYKAA,191.18
184,IEX,190.0
185,RBLBANK,187.4
186,GAIL,186.4
187,IGL,178.4
188,LTF,171.95
189,INOXWIND,171.5
190,IREDA,166.71
191,BANDHANBNK,165.5
192,NATIONALUM,155.89
193,CESC,153.5
194,TATASTEEL,138.54
195,IOC,134.5
196,MOTHERSON,133.32
197,IRFC,128.0
198,UNIONBANK,124.51
199,BANKINDIA,115.24
200,SAIL,114.44
201,PNB,98.99
202,CANBK,96.26
203,SJVN,96.0
204,NBCC,95.2
205,NHPC,85.8
206,GMRAIRPORT,85.42
207,HFCL,81.2
208,IDFCFIRSTB,65.99
209,NMDC,65.0
210,IRB,46.76
211,YESBANK,17.77
212,IDEA,7.46
