Index,Strike Price,Option Type,OI
NIFTY,22950.0,CE,75
NIFTY,22950.0,PE,2693325
NIFTY,23000.0,CE,8250
NIFTY,23000.0,PE,1212825
NIFTY,23050.0,CE,525
NIFTY,23050.0,PE,175125
NIFTY,23100.0,CE,150
NIFTY,23100.0,PE,136125
NIFTY,23150.0,CE,150
NIFTY,23150.0,PE,94050
NIFTY,23200.0,CE,75
NIFTY,23200.0,PE,139800
NIFTY,23250.0,CE,225
NIFTY,23250.0,PE,71025
NIFTY,23300.0,CE,225
NIFTY,23300.0,PE,222300
NIFTY,23350.0,CE,0
NIFTY,23350.0,PE,127200
NIFTY,23400.0,CE,1800
NIFTY,23400.0,PE,169800
NIFTY,23450.0,CE,750
NIFTY,23450.0,PE,79725
NIFTY,23500.0,CE,2250
NIFTY,23500.0,PE,1536600
NIFTY,23550.0,CE,975
NIFTY,23550.0,PE,138975
NIFTY,23600.0,CE,900
NIFTY,23600.0,PE,366525
NIFTY,23650.0,CE,300
NIFTY,23650.0,PE,162375
NIFTY,23700.0,CE,525
NIFTY,23700.0,PE,1344825
NIFTY,23750.0,CE,450
NIFTY,23750.0,PE,305100
NIFTY,23800.0,CE,2250
NIFTY,23800.0,PE,924075
NIFTY,23850.0,CE,600
NIFTY,23850.0,PE,363075
NIFTY,23900.0,CE,2550
NIFTY,23900.0,PE,1216650
NIFTY,23950.0,CE,900
NIFTY,23950.0,PE,360225
NIFTY,24000.0,CE,211275
NIFTY,24000.0,PE,3985350
NIFTY,24050.0,CE,975
NIFTY,24050.0,PE,426525
NIFTY,24100.0,CE,4500
NIFTY,24100.0,PE,877800
NIFTY,24150.0,CE,2850
NIFTY,24150.0,PE,508950
NIFTY,24200.0,CE,8025
NIFTY,24200.0,PE,2334225
NIFTY,24250.0,CE,2250
NIFTY,24250.0,PE,773925
NIFTY,24300.0,CE,6600
NIFTY,24300.0,PE,2283825
NIFTY,24350.0,CE,2325
NIFTY,24350.0,PE,1821675
NIFTY,24400.0,CE,7050
NIFTY,24400.0,PE,3387300
NIFTY,24450.0,CE,2850
NIFTY,24450.0,PE,1562850
NIFTY,24500.0,CE,65175
NIFTY,24500.0,PE,6828675
NIFTY,24550.0,CE,4650
NIFTY,24550.0,PE,1378125
NIFTY,24600.0,CE,13425
NIFTY,24600.0,PE,4164000
NIFTY,24650.0,CE,7725
NIFTY,24650.0,PE,2187975
NIFTY,24700.0,CE,40050
NIFTY,24700.0,PE,5457750
NIFTY,24750.0,CE,24075
NIFTY,24750.0,PE,2401800
NIFTY,24800.0,CE,96075
NIFTY,24800.0,PE,4951875
NIFTY,24850.0,CE,51825
NIFTY,24850.0,PE,2349375
NIFTY,24900.0,CE,133200
NIFTY,24900.0,PE,4386300
NIFTY,24950.0,CE,153525
NIFTY,24950.0,PE,3956775
NIFTY,25000.0,CE,1158975
NIFTY,25000.0,PE,7893375
NIFTY,25050.0,CE,1181550
NIFTY,25050.0,PE,6155700
NIFTY,25100.0,CE,8163225
NIFTY,25100.0,PE,24488475
NIFTY,25150.0,CE,18431775
